Year,Canada,France,Germany,Italy,Japan,UK,US
2000,2.495782,1.194497,-1.747066,0.06163555,2.667042,-2.416599,-3.935206
2001,2.125063,1.512378,-0.3656346,0.5242484,2.019711,-2.24686,-3.682598
2002,1.660878,1.180227,1.880005,-0.2645584,2.636435,-2.266441,-4.121953
2003,1.136365,0.868502,1.405571,-0.6151478,3.118162,-1.928031,-4.527316
2004,2.269712,0.4460624,4.471333,-0.3434259,3.783408,-2.308406,-5.171172
2005,1.82274,-0.01771826,4.60297,-0.8989165,3.576047,-2.036719,-5.716451
2006,1.367399,0.03617236,5.670065,-1.502973,3.880811,-3.049795,-5.834136
2007,0.7609792,-0.2943637,6.742881,-1.384783,4.712393,-3.584825,-4.920032
2008,0.07661222,-0.9576254,5.59563,-2.827109,2.827348,-4.228457,-4.631259
2009,-2.947821,-0.8331674,5.737017,-1.890851,2.784381,-3.553769,-2.578197
2010,-3.613569,-0.8426197,5.625709,-3.410431,3.86968,-3.37771,-2.876631
2011,-2.778108,-0.9932325,6.115581,-2.994864,2.08438,-1.958352,-2.867368
2012,-3.602171,-1.219801,7.016796,-0.3340262,1.006619,-3.767786,-2.635258
2013,-3.222075,-0.8723512,6.712868,0.9985076,0.8971518,-5.149014,-2.07807
2014,-2.400465,-1.266479,7.452894,1.915802,0.7884645,-4.92855,-2.084261
2015,-3.586329,-0.3657525,8.923409,1.511572,3.102305,-4.914183,-2.238094
2016,-3.220117,-0.7525131,8.566745,2.560616,3.819906,-5.219028,-2.313945
2017,-2.947582,-0.5746589,8.035299,2.752171,4.033471,-3.869304,-2.305014
