,,,,,
Date,Spain housing crash,Japan asset price bubble,Thailand (Asian crisis),US subprime crisis,China credit boom
01/03/1980,,141.90,,,
01/06/1980,,141.90,,,
01/09/1980,,142.10,,,
01/12/1980,,143.10,,,
01/03/1981,,142.50,,,
01/06/1981,,141.30,,,
01/09/1981,,143.10,,,
01/12/1981,,146.60,,,
01/03/1982,,147.00,45.70,,
01/06/1982,,146.90,45.50,,
01/09/1982,,149.30,44.90,,
01/12/1982,,152.40,46.30,,
01/03/1983,,154.50,48.70,,
01/06/1983,,154.30,50.40,,
01/09/1983,,156.30,52.70,,
01/12/1983,,159.20,56.70,,
01/03/1984,,160.00,58.50,,
01/06/1984,,158.70,58.30,,
01/09/1984,,161.30,59.30,,
01/12/1984,,162.60,61.50,,
01/03/1985,,163.70,63.50,,
01/06/1985,,162.30,65.10,,
01/09/1985,,163.60,64.50,,
01/12/1985,,165.30,65.50,,
01/03/1986,,165.60,65.60,,
01/06/1986,,165.10,65.00,,
01/09/1986,,167.80,64.80,,
01/12/1986,,171.60,64.70,,
01/03/1987,,173.50,66.30,,
01/06/1987,,179.80,65.50,,
01/09/1987,,183.70,65.40,,
01/12/1987,,187.20,68.50,,
01/03/1988,,186.40,69.20,,
01/06/1988,,186.80,69.80,,
01/09/1988,,189.60,70.50,,
01/12/1988,,193.30,72.50,,
01/03/1989,,194.60,74.00,,
01/06/1989,,196.00,75.60,,
01/09/1989,,200.70,76.50,,
01/12/1989,,204.70,79.70,,
01/03/1990,,209.60,82.40,,
01/06/1990,,207.80,85.80,,
01/09/1990,,209.40,90.40,,
01/12/1990,,211.20,93.10,,
01/03/1991,,209.10,94.50,,
01/06/1991,,208.00,96.10,,
01/09/1991,,208.30,98.80,,
01/12/1991,,210.00,100.90,,
01/03/1992,,208.50,102.10,,
01/06/1992,,208.40,103.80,,
01/09/1992,,209.10,105.50,,
01/12/1992,,212.40,107.80,,
01/03/1993,,212.40,110.40,,
01/06/1993,,213.10,113.50,,
01/09/1993,,215.20,114.40,,
01/12/1993,,217.50,117.30,,
01/03/1994,,216.70,119.50,117.30,
01/06/1994,,215.30,123.60,117.40,
01/09/1994,,216.70,129.00,117.30,
01/12/1994,,218.20,135.60,117.80,
01/03/1995,82.10,217.30,137.20,117.70,
01/06/1995,81.80,215.00,141.30,118.60,
01/09/1995,80.50,215.50,144.70,119.20,
01/12/1995,80.10,216.30,150.00,119.90,
01/03/1996,78.70,214.40,153.60,120.10,
01/06/1996,79.50,212.40,156.00,120.60,
01/09/1996,78.70,211.40,155.60,120.70,
01/12/1996,79.70,212.40,158.20,120.50,
01/03/1997,80.10,208.90,159.80,120.20,
01/06/1997,81.10,207.70,160.40,120.70,
01/09/1997,81.80,207.00,170.40,121.30,
01/12/1997,82.90,209.80,181.90,121.80,
01/03/1998,83.80,206.70,168.70,122.50,
01/06/1998,86.70,206.20,171.10,124.40,
01/09/1998,87.00,207.20,168.60,125.20,
01/12/1998,89.30,,165.40,126.30,
01/03/1999,93.00,,163.40,127.20,
01/06/1999,99.40,,157.40,128.00,
01/09/1999,100.70,,148.80,129.80,
01/12/1999,103.40,,140.50,130.70,
01/03/2000,107.40,,137.80,131.80,
01/06/2000,112.00,,130.90,132.70,
01/09/2000,116.10,,120.90,133.30,
01/12/2000,118.50,,,133.90,
01/03/2001,119.30,,,133.30,
01/06/2001,122.40,,,135.20,
01/09/2001,125.40,,,137.20,
01/12/2001,127.60,,,138.30,
01/03/2002,129.70,,,138.80,
01/06/2002,131.10,,,139.90,115.20
01/09/2002,131.60,,,140.60,117.10
01/12/2002,134.20,,,142.20,118.50
01/03/2003,134.90,,,142.80,121.60
01/06/2003,136.90,,,145.00,127.20
01/09/2003,137.90,,,145.70,129.30
01/12/2003,142.10,,,145.70,127.70
01/03/2004,144.30,,,146.20,130.90
01/06/2004,148.50,,,146.90,127.20
01/09/2004,150.00,,,147.70,124.90
01/12/2004,153.90,,,149.50,123.50
01/03/2005,156.90,,,149.70,122.10
01/06/2005,162.40,,,151.20,118.90
01/09/2005,164.40,,,152.50,118.00
01/12/2005,169.90,,,153.70,116.20
01/03/2006,176.20,,,155.30,119.70
01/06/2006,182.20,,,157.10,120.70
01/09/2006,186.10,,,158.60,119.40
01/12/2006,192.70,,,160.40,117.30
01/03/2007,195.80,,,161.60,119.00
01/06/2007,202.00,,,164.10,119.60
01/09/2007,203.80,,,166.00,118.70
01/12/2007,205.80,,,167.70,115.60
01/03/2008,204.90,,,168.60,116.10
01/06/2008,207.60,,,168.40,115.30
01/09/2008,208.30,,,169.40,114.70
01/12/2008,209.60,,,167.90,114.20
01/03/2009,211.40,,,166.90,127.30
01/06/2009,213.60,,,167.60,137.10
01/09/2009,214.70,,,167.70,141.60
01/12/2009,214.50,,,166.10,143.30
01/03/2010,215.40,,,164.20,146.40
01/06/2010,218.10,,,161.70,148.60
01/09/2010,216.60,,,160.00,148.50
01/12/2010,216.00,,,157.50,147.90
01/03/2011,214.20,,,155.90,148.20
01/06/2011,215.10,,,154.30,148.00
01/09/2011,214.80,,,153.00,146.50
01/12/2011,214.30,,,152.30,147.60
01/03/2012,215.00,,,150.90,150.90
01/06/2012,214.90,,,150.00,153.70
01/09/2012,213.10,,,149.40,157.30
01/12/2012,206.80,,,,160.30
01/03/2013,203.90,,,,166.50
01/06/2013,201.90,,,,169.80
01/09/2013,199.80,,,,172.90
01/12/2013,,,,,173.80
01/03/2014,,,,,178.60
01/06/2014,,,,,182.30
01/09/2014,,,,,183.20
01/12/2014,,,,,185.60
01/03/2015,,,,,189.80
01/06/2015,,,,,192.90
01/09/2015,,,,,196.40
01/12/2015,,,,,201.60
01/03/2016,,,,,206.20
01/06/2016,,,,,208.50
01/09/2016,,,,,209.60
01/12/2016,,,,,210.80
01/03/2017,,,,,211.10
01/06/2017,,,,,210.40
01/09/2017,,,,,210.40
01/12/2017,,,,,208.70
