Year,Value
1260,45.38108776
1261,45.34270719
1262,45.30531074
1263,45.26889841
1264,45.23347019
1265,45.19902609
1266,45.1655661
1267,45.13309023
1268,45.10159848
1269,45.07109085
1270,45.04156734
1271,45.01302794
1272,44.98547266
1273,44.95890149
1274,44.93331445
1275,44.90871152
1276,44.8850927
1277,44.86245801
1278,44.84080743
1279,44.82014097
1280,44.57312756
1281,44.56820697
1282,44.57804814
1283,44.60265107
1284,44.64201576
1285,44.6961422
1286,44.76503041
1287,44.84868037
1288,44.94709209
1289,45.06026556
1290,45.55761378
1291,45.67792211
1292,45.79060353
1293,45.89565804
1294,45.99308564
1295,46.08288633
1296,46.16506012
1297,46.23960699
1298,46.30652696
1299,46.36582002
1300,45.51628086
1301,45.61493861
1302,45.76058795
1303,45.95322889
1304,46.19286143
1305,46.47948556
1306,46.81310128
1307,47.1937086
1308,47.62130752
1309,48.09589803
1310,50.93138567
1311,51.35972267
1312,51.69481457
1313,51.93666137
1314,52.08526307
1315,52.14061966
1316,52.10273115
1317,51.97159753
1318,51.74721881
1319,51.42959499
1320,50.04850954
1321,49.60319651
1322,49.12343939
1323,48.60923816
1324,48.06059283
1325,47.4775034
1326,46.85996986
1327,46.20799223
1328,45.52157049
1329,44.80070466
1330,43.38369893
1331,42.63404766
1332,41.89005507
1333,41.15172115
1334,40.41904591
1335,39.69202934
1336,38.97067144
1337,38.25497222
1338,37.54493167
1339,36.8405498
1340,36.11341021
1341,35.42206789
1342,34.73810645
1343,34.06152589
1344,33.3923262
1345,32.73050739
1346,32.07606947
1347,31.42901242
1348,30.78933625
1349,30.15704096
1350,28.82171695
1351,28.24723855
1352,27.72319615
1353,27.24958975
1354,26.82641936
1355,26.45368498
1356,26.1313866
1357,25.85952423
1358,25.63809786
1359,25.4671075
1360,26.23558001
1361,26.11158124
1362,25.98413807
1363,25.85325048
1364,25.71891849
1365,25.58114208
1366,25.43992127
1367,25.29525604
1368,25.1471464
1369,24.99559236
1370,24.23573088
1371,24.11394637
1372,24.02537583
1373,23.97001924
1374,23.9478766
1375,23.95894792
1376,24.00323319
1377,24.08073242
1378,24.1914456
1379,24.33537274
1380,25.00371132
1381,25.18429683
1382,25.36832674
1383,25.55580106
1384,25.7467198
1385,25.94108294
1386,26.1388905
1387,26.34014246
1388,26.54483883
1389,26.75297962
1390,27.40298902
1391,27.59144746
1392,27.75677915
1393,27.89898408
1394,28.01806226
1395,28.11401368
1396,28.18683836
1397,28.23653627
1398,28.26310744
1399,28.26655185
1400,27.27259349
1401,27.28883142
1402,27.34098964
1403,27.42906812
1404,27.55306689
1405,27.71298593
1406,27.90882525
1407,28.14058485
1408,28.40826472
1409,28.71186487
1410,30.21645703
1411,30.52128733
1412,30.7914275
1413,31.02687753
1414,31.22763744
1415,31.39370721
1416,31.52508686
1417,31.62177637
1418,31.68377575
1419,31.71108501
1420,31.35458856
1421,31.33367607
1422,31.29923196
1423,31.25125625
1424,31.18974893
1425,31.11470999
1426,31.02613945
1427,30.92403729
1428,30.80840352
1429,30.67923814
1430,30.08187901
1431,29.95320569
1432,29.83855603
1433,29.73793005
1434,29.7630624
1435,29.78821598
1436,29.81339082
1437,29.83858694
1438,29.86380435
1439,29.88904308
1440,29.91430313
1441,29.93958454
1442,29.9648873
1443,29.99021146
1444,30.01555701
1445,30.04092399
1446,30.0663124
1447,30.09172227
1448,30.11715361
1449,30.14260645
1450,30.1680808
1451,30.19357667
1452,30.2190941
1453,30.24463309
1454,30.27019366
1455,30.29577584
1456,30.32137963
1457,30.34700506
1458,30.37265216
1459,30.39832092
1460,30.42401138
1461,30.44972355
1462,30.47545745
1463,30.5012131
1464,30.52699052
1465,30.55278972
1466,30.57861072
1467,30.60445355
1468,30.63031822
1469,30.65620474
1470,30.68211315
1471,30.70804345
1472,30.73399566
1473,30.75996981
1474,30.78596591
1475,30.81198398
1476,30.83802403
1477,30.8640861
1478,30.89017019
1479,30.91627632
1480,30.94240452
1481,30.9685548
1482,30.99472718
1483,31.02092168
1484,31.04713831
1485,31.07337711
1486,31.09963807
1487,31.12592123
1488,31.15222661
1489,31.17855421
1490,31.20490407
1491,31.23127619
1492,31.25767061
1493,31.28408733
1494,31.31052637
1495,31.33698776
1496,31.36347151
1497,31.38997765
1498,31.41650618
1499,31.44305714
1500,31.46963053
1501,31.49622638
1502,31.52284471
1503,31.54948554
1504,31.57614888
1505,31.60283475
1506,31.62954318
1507,31.65627418
1508,31.68302777
1509,31.70980397
1510,31.7366028
1511,31.76342428
1512,31.79026842
1513,31.81713525
1514,31.84402479
1515,31.87093706
1516,31.89787206
1517,31.92482983
1518,31.95181039
1519,31.97881374
1520,32.00583992
1521,32.03288894
1522,32.05996082
1523,32.08705557
1524,32.11417323
1525,32.1413138
1526,32.16847731
1527,32.19566378
1528,32.22287322
1529,32.25010566
1530,32.27736111
1531,32.3046396
1532,32.33194114
1533,32.35926576
1534,32.38661347
1535,32.41398429
1536,32.44137824
1537,32.72666097
1538,33.01445243
1539,33.30477466
1540,33.59764992
1541,33.89310067
1542,34.19114955
1543,34.49181941
1544,34.7951333
1545,35.10111447
1546,35.40978637
1547,35.72117267
1548,36.03529724
1549,36.35218415
1550,36.6718577
1551,36.9943424
1552,37.31966295
1553,37.64784431
1554,37.97891163
1555,38.31289028
1556,38.64980587
1557,38.98968423
1558,39.33255141
1559,39.67843369
1560,40.02735758
1561,40.37934984
1562,40.73443745
1563,41.09264763
1564,41.45400783
1565,41.81854575
1566,42.18628935
1567,42.55726681
1568,42.93150657
1569,43.30903731
1570,43.68988798
1571,44.07408777
1572,44.46166614
1573,44.85265279
1574,45.24707769
1575,45.64497108
1576,46.04636347
1577,46.45128562
1578,46.85976857
1579,46.9083888
1580,46.95705947
1581,47.00578065
1582,47.05455238
1583,47.10337471
1584,47.15224769
1585,47.20117139
1586,47.25014585
1587,47.29917112
